年代情報,キーワード,関連記事,問題内容,A,B,C,D
2021,ぴよりん,https://news.yahoo.co.jp/expert/articles/e71419d6746faaeb1290f2ef562070eca1cf08a2,"藤井聡太二冠が対局中に食べたことで話題になり、
販売数が急増した名古屋名物のスイーツはどれでしょう？",しろくま,ぴよりん,わらびもちドリンク,バスクチーズケーキ
2021,ぴよりん,https://news.yahoo.co.jp/expert/articles/e71419d6746faaeb1290f2ef562070eca1cf08a2,"「ぴよりん」は“配送ができない”とされています。
その主な理由として最も適切なものはどれでしょう？",使用している卵が希少なため,柔らかくて形が崩れやすいため,要冷蔵商品のため,販売地域が限定されているため
2021,ぴよりん,https://studio.persol-group.co.jp/nama/240628-1,"「自宅まで無事に持ち帰れたら成功！」というSNS投稿で話題になった、
名古屋発のスイーツはどれでしょう？",ぴよりん,しろくま,ういろう,生ドーナツ
2020~2025,瞬間グルメ,https://www.olive-hitomawashi.com/column/2021/02/post-13708.html,"賞味期限が極端に短く、「食べるタイミング＝体験の価値」の
要素をもつ食べ物を指す呼び名はどれでしょう？",ロングライフスイーツ,ミニマルグルメ,瞬間グルメ,レガシーフード
2020~2025,瞬間グルメ,https://news.yahoo.co.jp/expert/articles/129628d64b4d4b654db4681af43033546b7310a0,"チョコアイスとバニラアイスに温かいチョコソースをかけ、
固まる前に食べる必要がある「賞味期限10秒」のパフェのように、
“一瞬の美味しさ”を売りにした食べ物を指す言葉はどれでしょう？",スローフード,瞬間グルメ,ご当地スイーツ,ハイブリッドスイーツ
2020~2025,瞬間グルメ,https://news.yahoo.co.jp/expert/articles/129628d64b4d4b654db4681af43033546b7310a0,"エクチュア からほり『蔵』本店」の“賞味期限10秒パフェ”が
「瞬間グルメ」と呼ばれる理由として最も適切なものはどれでしょう？","注文してから提供までの時間が
非常に短いため","食べる時間が制限されている
イベント限定商品であるため","温かいチョコソースがすぐに固まってしまい、
美味しさのピークが一瞬だから","SNS投稿用にタイマー演出を
するため"
2023,生ドーナツ,https://www.fujisan.co.jp/trends/gourmet/40336/,"福岡発のベーカリーブランド「I’m donut?」が人気を集めた、
“もっちり感”と“しゅわっと軽やかな口溶け”が特徴の新食感スイーツはどれでしょう？",生ドーナツ,焼きドーナツ,クロナッツ,冷やしドーナツ
2023,生ドーナツ,https://www.cotta.jp/special/article/?p=66139&srsltid=AfmBOor0PlQX7cK1UR5nlYa9Ni7KGloTH0fDUrd9t0-aaLJachCQ9u2o,「生ドーナツ」がSNSで流行した主な理由として最も適切なものはどれでしょう？,値段が安く、保存性が高いため,"映える見た目と“食べたい気持ちを
刺激する”演出があったため",通販限定で手に入りにくかったため,テレビで紹介されたことが少なかったため
2023,生ドーナツ,https://www.cotta.jp/special/article/?p=66139&srsltid=AfmBOor0PlQX7cK1UR5nlYa9Ni7KGloTH0fDUrd9t0-aaLJachCQ9u2o,"SNSで「断面のとろける生クリーム」や「ふわっとした生地」が話題となり、
InstagramやTikTokでも人気を集めたスイーツはどれでしょう？",マリトッツォ,生ドーナツ,バスクチーズケーキ,生カヌレ
2017,パンケーキ,https://rtrp.jp/articles/94026/,"大阪生まれで、20分かけて焼き上げる
“ふわふわ食感”が特徴の人気スイーツはどれでしょう？",バスクチーズケーキ,幸せのパンケーキ,マリトッツォ,生ドーナツ
2023,パンケーキ,https://vansan-ltd.jp/column/%E6%96%B0%E5%AE%9A%E7%95%AA%E3%83%80%E3%83%83%E3%83%81%E3%83%99%E3%82%A4%E3%83%93%E3%83%BC%E3%83%91%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%AD%E3%81%A8%E3%81%AF/,オーブンで焼き上げる“シュー生地風”のパンケーキとして注目されているスイーツはどれでしょう？,スフレパンケーキ,ダッチベイビーパンケーキ,ホットケーキ,フルーツサンド
2023,パンケーキ,https://web.hh-online.jp/hankyu-food/blog/lifestyle/detail/000846.html,日本では「ホットケーキ」という言葉が使われることが多いが、海外では一般的に「_________」と呼ばれている。,フライケーキ,パンケーキ,クレープ,トーストケーキ
2025,抹茶,https://news.yahoo.co.jp/articles/6887521c07467e516552597c2532d8b12b80a68d,抹茶が世界で人気になった主な理由として最も近いものはどれでしょう？,洋菓子の流行,健康志向や日本食への関心の高まり,和紙文化の広がり,SNSの影響で日本語が人気になった
2025,抹茶,https://news.yahoo.co.jp/articles/6887521c07467e516552597c2532d8b12b80a68d,健康志向や日本食への関心の高まりを背景に、世界で人気が高まっている日本の食文化はどれでしょう？,抹茶,寿司,味噌汁,醤油
2025,抹茶,https://note.com/kichidenseiken/n/nadfece75a34f,抹茶を点てるときに大切にされてきた、日本文化の精神を表す言葉はどれでしょう？, 一期一会（いちごいちえ）,花鳥風月（かちょうふうげつ）,和敬清寂（わけいせいじゃく）,温故知新（おんこちしん）
2020,レインボーフード,https://macaro-ni.jp/32777,カラフルで写真映えする見た目が人気の、SNSで話題になっている食べ物を何と呼ぶでしょう？,カラフルスイーツ,レインボーフード,フォトケーキ,スイートカラー
2020,レインボーフード,https://macaro-ni.jp/32777,「レインボーフード」と呼ばれる理由として、正しいものはどれでしょう？,食べると虹が見えるから,食材に7種類の味があるから,虹のようにカラフルな色合いだから,雨の日に食べる料理だから
2020,レインボーフード,https://macaro-ni.jp/32777,レインボーフードが人気になった主なきっかけとして、記事で紹介されているものはどれでしょう？,InstagramなどのSNSで写真が映えるから,栄養バランスが良いから,和食の伝統を守っているから,値段が安いから
,わらび餅,https://note.com/kei_honbo/n/n1c8cff64eb5f,タピオカの次に人気が出ている、日本の伝統的なスイーツはどれでしょう？,どら焼き,みたらし団子,わらび餅,大福
,わらび餅,https://note.com/kei_honbo/n/n1c8cff64eb5f,最近のわらび餅は、伝統的な黒蜜やきな粉だけでなく、どんな特徴で人気を集めていますか？,スパイシーな味つけ,カラフルで洋風なアレンジ,冷凍して食べる新食感,塩味のある和風アレンジ
,わらび餅,https://note.com/kei_honbo/n/n1c8cff64eb5f,わらび餅が若者の間でも話題になっている理由として、最も当てはまるものはどれでしょう？,SNSで「写真映えする」と話題になったから,海外でしか食べられないから,音楽番組で紹介されたから,コンビニで売られなくなったから
2021,バナナジュース,https://www.pack-kimura.net/useful/dessert/article111800/,コロナ禍で「ヘルシーで体にやさしい」と人気が高まった飲み物はどれでしょう？,コーヒー,バナナジュース,抹茶ラテ,野菜スープ
2021,バナナジュース,https://www.pack-kimura.net/useful/dessert/article111800/,バナナジュースの人気が高まった理由として、記事の内容と最も近いものはどれでしょう？,外出自粛で運動不足になった人が増えたから,スポーツ大会が増えたから,夏の気温が下がったから,バナナの値段が上がったから
2021,バナナジュース,https://www.pack-kimura.net/useful/dessert/article111800/,バナナジュースの人気が「現代の日本の食文化」を表している点として、最も正しいものはどれでしょう？,手軽さと健康の両立を求める食文化になっている,伝統的な料理が完全に消えている,海外の食べ物しか人気がない,若者は甘い飲み物を飲まなくなっている
,純喫茶,https://toyokeizai.net/articles/-/714545?page=4,純喫茶の人気が示している、現代の日本の食文化の傾向として最も近いものはどれでしょう？,新しいものより、懐かしさや雰囲気を楽しむ傾向がある,コーヒーよりも紅茶の文化が広まっている,洋風ファストフードが主流になっている,昭和の文化がすべて消えつつある
,純喫茶,https://www.yomiuri.co.jp/national/20240411-OYT1T50121/,昭和レトロブームの中で純喫茶が注目されている理由として、最も適切なものはどれでしょう？,最新のデジタル機器が使えるから,早くて安いファストフードだから,懐かしさと写真映えする雰囲気があるから,海外からの輸入文化だから
,純喫茶,https://www.yomiuri.co.jp/national/20240411-OYT1T50121/,2010年代に出版された『純喫茶コレクション』をきっかけに人気が再燃した、昔ながらの喫茶店を何というでしょう？,カフェ,ネオ喫茶,純喫茶,コーヒースタンド
,萌え断,https://foods-labo.com/column/oyakudachi35,フルーツサンドなどで、断面の美しさに思わず“ときめく”ような食べ物を表す言葉はどれでしょう？,断面映え,フルーツショット,萌え断,美断サンド
,萌え断,https://foods-labo.com/column/oyakudachi35,「萌え断」の“萌え”とは、もともとどんな意味の言葉から来ているでしょう？,花が咲くようにきれいという意味,アニメ・キャラクターなどに感じる「かわいい・ときめく」という感情,食欲がわくという意味,切ることを意味する古語
,萌え断,https://foods-labo.com/column/oyakudachi35,「萌え断」が流行した背景として、特に大きな影響を与えたのはどれでしょう？,写真共有SNSの普及,テレビ番組での紹介,和菓子職人の伝統技術の復活,高級フルーツの値下がり
,出汁,https://urbanlife.tokyo/post/33304/,脂肪分や塩分を抑えながら、うまみをしっかり感じられる日本の伝統的な調味の基本となるものはどれでしょう？,醤油,味噌,出汁,みりん
,出汁,https://urbanlife.tokyo/post/33304/,出汁を使うことで得られる健康面でのメリットとして正しいものはどれ？,カロリーが高くなる,塩分を減らしてもおいしく感じられる,脂肪分が増える,食材の味が薄くなる
,出汁,https://urbanlife.tokyo/post/33304/,出汁が「第2次ブーム」と言われる理由として、最も関係が深いものはどれでしょう？,出汁の作り方がSNSで紹介され、若者にも親しまれるようになったから,出汁が外国では手に入らなくなったから,出汁がカロリーの高い食材として人気になったから,出汁を使う料理が減ったから
,駄菓子,https://jocr.jp/raditopi/2022/04/23/424614/,コロナ禍で“おうち時間”が増えたことにより、大人にも再び人気が高まった昔ながらのお菓子はどれでしょう？,駄菓子,生菓子,洋菓子,和菓子
,駄菓子,https://jocr.jp/raditopi/2022/04/23/424614/,「おうちで駄菓子屋さん」という商品が発売された目的として、最も近いものはどれ？,駄菓子を高級品として販売するため,外出制限の中でも家庭で楽しめるようにするため,駄菓子の歴史を学ぶための教材として,海外輸出を目的とした商品として
,駄菓子,https://jocr.jp/raditopi/2022/04/23/424614/,「駄菓子が注目されている」という表現の背景として、最も関係の深いものはどれ？,若者の間で“昭和レトロ”ブームが広がっている,外国のお菓子の人気が下がった,駄菓子の種類が減って希少になった,学校給食で出されるようになった
2024, 2Dケーキ,https://magazine.itsnap.jp/gourmet/48901/,モノクロの空間にいるように見える「絵の中のカフェ」で人気の、まるでイラストのようなケーキを何と呼ぶでしょう？,3Dケーキ,フォトジェニックケーキ,2Dケーキ,デジタルケーキ
2024, 2Dケーキ,https://magazine.itsnap.jp/gourmet/48901/,「2Dケーキ」が人気になった主な理由として、最も正しいものはどれでしょう？,味が伝統的で懐かしいから,白黒の空間とカラフルなケーキの対比がSNS映えするから,素材がすべて日本産だから,ケーキの形が毎回変わるから
2024, 2Dケーキ,https://magazine.itsnap.jp/gourmet/48901/,「2Dケーキ」や「絵の中のカフェ」が人気を集めている背景として、最も関係が深いのはどれ？,視覚的に楽しむ“体験型スイーツ”の広がり,甘さ控えめのスイーツブーム,昭和レトロ喫茶の復活,コーヒー文化の発展
,米,https://www.tbsradio.jp/articles/97052/,「令和の米騒動」と呼ばれている現象は、どのような理由で起こったでしょうか？,日本の米の輸出が急増したから,コメ不足が続き、入手が難しくなったから,新しい米の品種が人気を集めたから,外国産米の輸入が増えすぎたから
,米,https://www.tbsradio.jp/articles/97052/,「備蓄米」とは、どのような目的で保管されているお米でしょうか？,お正月など特別な日に食べるためのお米,災害や不作などに備えて保管されているお米,新しい米の品種が人気を集めたから,外国産米の輸入が増えすぎたから
,米,https://www.tbsradio.jp/articles/97052/,高度経済成長期以前のお米の位置づけとして、最も正しいものはどれでしょう？,いつでも食べられる一般的な食べ物だった,外国から輸入される珍しい食品だった,特別な日にしか食べられない貴重な食べ物だった,主にお菓子やデザートに使われていた
,JKケーキ,https://weknowledge.jp/column/gourmet/post_11457,女子高生発の、スポンジケーキに好きなお菓子を自由にトッピングして作るスイーツを何と呼ぶでしょう？,プリンケーキ,JKケーキ,おうちケーキ,カフェケーキ
,JKケーキ,https://weknowledge.jp/column/gourmet/post_11457,「JKケーキ」が人気になった理由として、最も正しいものはどれでしょう？,プロのケーキ職人が作る高級スイーツだから,放課後などに手軽に作れて、見た目も可愛いから,健康志向で砂糖を使わないから,和菓子の要素を取り入れているから
,JKケーキ,https://weknowledge.jp/column/gourmet/post_11457,「JKケーキ」が生まれた背景として、最も関係が深いのはどれでしょう？,手軽に作れる“おうちスイーツ”ブーム,フードロス削減運動,ヴィーガンスイーツの流行,大人のチョコレートブーム
,フードテック,,「フードテック」とは、どのような意味を持つ言葉でしょうか？,食に関する伝統的な文化のこと,食とテクノロジーを組み合わせた新しい技術や仕組みのこと,高級レストランで使われる調理法のこと,食品を輸入するビジネスのこと
,フードテック,,,,,,
,フードテック,,,,,,